company_name,country_code,state_code,city,status,category_group_list,funding_total_usd,founded_on,closed_on,uuid
Active Implants,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"113,717,506",6/1/2004,,b855667d-0b02-63ac-7de1-fa0025486d78
Cowlar,USA,TN,Memphis,operating,agriculture and farming|internet services,"50,000",1/1/2015,,3d08c129-cd63-51f7-251c-8d5faa1c70bd
Skuid,USA,TN,Chattanooga,operating,apps|data and analytics|design|information technology|mobile|sales and marketing|software,"31,622,100",3/1/2013,,6f45e281-0e39-8363-d645-54ca941f6718
Scripturally Sound,USA,TN,Nashville,operating,community and lifestyle|education|media and entertainment|software,"48,000",2/1/2017,,17f00c98-caf6-4218-a1ca-13dd451ddde4
Hashed Health,USA,TN,Nashville,operating,information technology,"1,800,000",1/1/2016,,f073879c-adf9-5b74-ed6a-4601cb8a1b50
Forthright Entertainment,USA,TN,Knoxville,operating,,"200,000",4/5/2007,,44d3ac7b-5817-4f8c-b67a-8855bade5679
Vendor Registry,USA,TN,Knoxville,operating,government and military|information technology,"1,825,000",1/1/2011,,43ad41fd-bdab-1c93-a827-6971ed19efc0
Silicon Ranch,USA,TN,Nashville,operating,energy|natural resources|science and engineering|sustainability,"155,000,000",1/1/2010,,d2f8611e-8229-6b52-93c6-5d26ce52332f
Initial State Technologies,USA,TN,Nashville,operating,data and analytics|design|information technology|internet services|software,"3,541,851",3/22/2012,,2c37fb45-3185-e652-5bcc-1a3acdda8c0b
JumpCrew,USA,TN,Nashville,operating,advertising|sales and marketing,"3,300,000",1/1/2016,,ee7b5bd3-7d82-0b51-b6e8-2725f0480bfd
David Dubbs | The Conversion Pros,USA,TN,Nashville,operating,sales and marketing,,1/1/2015,,a0ba5c1d-d89e-b6ff-bd6e-ae6d876acecc
Relode,USA,TN,Nashville,operating,professional services|software,"750,000",10/1/2014,,f3f9943e-5f9d-8754-9bae-7fc5b8aa7944
Preteckt,USA,TN,Memphis,operating,artificial intelligence|data and analytics|hardware|software|transportation,"475,000",5/4/2015,,e286b7f9-0a01-67ff-bae9-563da8a3251c
FrontDoor,USA,TN,Memphis,operating,real estate,"368,750",5/4/2015,,0fc34f10-81ba-6f2f-dbe3-104ff2c93453
HomeyLabs,USA,TN,Memphis,operating,apps|financial services|mobile|payments|software,"62,500",1/1/2016,,e52f0a47-59c9-e2d2-9a28-95f424dfca36
Five Star Food Service,USA,TN,Chattanooga,acquired,,,1/1/1993,,575475a5-62d9-5fa1-6117-1a9f8d395581
US Biologic,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"2,946,982",1/1/2012,,2db311b6-1c7c-7ced-e5f5-923e1f3cd6a3
Expression Health Analytics,USA,TN,Nashville,operating,health care,"315,000",1/1/2014,,0a99c3f7-d2b1-1c98-9128-a247c7a6d297
Kindful,USA,TN,Nashville,operating,information technology|sales and marketing|software,"3,750,000",6/1/2011,,723c3b76-307b-444e-ec71-9e89e5ee1245
Dart Music,USA,TN,Nashville,operating,apps|media and entertainment|music and audio|software,"1,500,000",1/1/2014,,467853c8-370d-3416-f59b-d916444a923a
Axial Healthcare,USA,TN,Nashville,operating,health care|information technology,"26,300,012",1/1/2012,,494eb2e0-d1d0-9874-1c42-7a88fe3fe4ed
Contessa Health,USA,TN,Nashville,operating,health care,"10,499,959",2/1/2015,,dabbfd1d-4bb2-6cde-22d2-233b59c8f05e
Satchel Health,USA,TN,Nashville,operating,health care,"1,000,000",1/1/2014,,8a816fa6-a7d3-fd6c-63e3-59ba07f01c0e
Aspire Health,USA,TN,Nashville,operating,health care,"53,500,004",1/1/2011,,881a10a9-4d5f-be59-9fd6-4c5e44434e17
Soundways,USA,TN,Memphis,operating,manufacturing|media and entertainment|music and audio,"281,000",5/1/2016,,eecab0cc-a09f-c4ae-5aae-55aa785e35f7
Tithe.ly,USA,TN,Nashville,operating,apps|software,"640,000",9/1/2013,,38e9c029-3027-4a3c-7a9b-490f4f5d38b7
TransFX,USA,TN,Chattanooga,operating,commerce and shopping|financial services|transportation,"2,000,000",6/1/2016,,eeec1a17-c367-a1b7-bc4a-58e9ca278411
EVAmore,USA,TN,Nashville,operating,media and entertainment,,1/1/2015,,d6c7dade-0802-229c-e7a8-a677fb3ab834
Concert Genetics,USA,TN,Franklin,operating,biotechnology|health care|science and engineering,"9,147,912",1/1/2010,,02cc0e10-59a2-2422-5b02-3cb01aaca655
Beachy,USA,TN,Nashville,operating,commerce and shopping|financial services|mobile|navigation and mapping|payments|software|transportation|travel and tourism,"750,000",7/1/2015,,69b8dffc-f37b-217d-63fd-70f94dc51df1
Med+Proctor,USA,TN,Nashville,operating,health care|software,,1/1/2014,,a9bed32a-766f-0463-5b79-3644c14add64
Sano Informed Prescribing,USA,TN,Franklin,operating,data and analytics|design,"5,543,132",1/1/2015,,6c954857-beda-7faa-3cf0-a15a77933e99
"Restore Medical Solutions, Inc.",USA,TN,Memphis,operating,health care,"4,550,000",5/19/2012,,f9ffeec2-380c-a6c3-42be-75698609a663
SweetBio,USA,TN,Memphis,operating,biotechnology|science and engineering,"1,300,000",1/1/2015,,36009d08-8c86-a665-565f-2f295fb982c6
ProxBox,USA,TN,Memphis,operating,real estate,"141,000",1/1/2016,,192d4b6e-ae7b-0819-b483-7edad26ec643
IngagePatient,USA,TN,Franklin,acquired,health care|mobile,"8,516,875",1/1/2007,,1d1dc0c2-ac90-acc6-507a-1be19100b8f8
MDsave,USA,TN,Brentwood,operating,commerce and shopping|health care,"26,543,720",6/1/2012,,83f91144-d203-3e42-2ad6-859f2408d14f
Signix,USA,TN,Chattanooga,operating,information technology|privacy and security|software,"13,972,500",1/1/2002,,1c952b54-8b95-58a1-bd9f-038a901287d3
Haven Lock,USA,TN,Franklin,operating,apps|manufacturing|software,"410,000",4/1/2014,,c1c97329-6fa5-c55d-f2a4-8000fe65a00e
PathGroup,USA,TN,Brentwood,operating,biotechnology|health care|science and engineering,"19,500,000",1/1/1996,,1810aa04-934a-dd06-3e3d-b00a8e640834
Quire,USA,TN,Memphis,operating,biotechnology|health care|information technology|science and engineering|software,"3,114,250",1/1/2009,,9d3dee30-26e7-3b2e-cccd-960fe702929c
SOMAVAC Medical Solutions,USA,TN,Memphis,operating,biotechnology|science and engineering,"25,000",4/28/2016,,8a2b07db-dc11-b118-505b-91fa30751b6a
splitsecnd,USA,TN,Nashville,operating,consumer electronics|hardware|software,"6,802,000",5/1/2012,,26cff0aa-74eb-c6f4-c688-4a159cc6d8f2
Medaxion,USA,TN,Nashville,operating,biotechnology|health care|information technology|science and engineering,"6,998,872",1/1/2008,,f67d5107-4dc9-3920-88ba-bb1c27e210d6
MindCare Solutions,USA,TN,Nashville,operating,health care,"19,006,443",1/1/2013,,da317413-05ce-1633-6d57-eebe3bb1780e
iScreen Vision,USA,TN,Cordova,operating,health care,"11,108,279",3/31/2009,,ea195c54-95ac-1242-a2cb-58a851451cbe
Thrivist,USA,TN,Franklin,acquired,data and analytics|education|software,,3/10/2015,,43c5274d-3f11-9d2b-16a3-1dcc50fd44f7
Directed Sensing,USA,TN,Knoxville,operating,consumer electronics|consumer goods|hardware|internet services,"2,000,000",1/1/2012,,25873940-fcc2-dcae-467e-c6bd243dd9e5
Slope,USA,TN,Chattanooga,operating,software|transportation,,1/1/2016,,c92e98e7-c2d1-648f-5f91-08257c70ea4c
Mossey Creek Technologies,USA,TN,Jefferson City,operating,,"2,500,000",1/1/2015,,467ca8bc-0dba-5ba8-925b-31b0cff4d4a5
SmileDirectClub,USA,TN,Nashville,operating,consumer goods|health care,,12/1/2013,,460ed485-64d1-b93e-32f7-ed3cacc302f4
Franklin Synergy Bank,USA,TN,Franklin,ipo,financial services|lending and investments,"20,000,000",1/1/2007,,0b972681-36df-007d-54c3-79e16bb2aaae
Groups360,USA,TN,Nashville,operating,events|media and entertainment,"5,500,000",1/1/2014,,b4775a19-1681-f32b-f7ec-ff014ac36114
Watershed Systems,USA,TN,Franklin,operating,content and publishing|data and analytics|education|media and entertainment,"8,000,000",1/1/2015,,ed0278f0-67f7-bbea-9d4a-3dbe400b981b
Ampersand Health,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"20,000,017",1/1/2013,,d4158fdc-552a-ca17-7c34-00637e784df6
Aegle Gear,USA,TN,Chattanooga,operating,consumer electronics|hardware|health care,"750,000",1/1/2015,,75d22ecd-9e2f-8fad-fe70-bfd3f40c1f2a
Cabsolutely,USA,TN,Memphis,operating,mobile|transportation,"595,000",9/1/2014,,58efba93-9a45-2a90-8af0-bfb11757d06e
Everly,USA,TN,Nashville,operating,food and beverage|health care,"685,000",1/1/2012,,a3bc54bb-3e9a-0bb1-7942-89e898badf68
affirmhealth,USA,TN,Nashville,operating,health care,"150,000",4/1/2016,,1437c99c-947b-6eab-5c64-0560ae1a85f7
Compression Kinetics,USA,TN,Memphis,operating,health care,"490,000",5/14/2014,,9ba628d9-25b8-863d-a41b-1fd628ed4845
Digital Reasoning,USA,TN,Franklin,operating,artificial intelligence|data and analytics|software,"73,959,965",1/1/2000,,b145e4cc-2802-d73d-f5d9-f3c35b1ff573
WeCounsel Solutions,USA,TN,Chattanooga,operating,financial services|software,"4,100,000",6/2/2011,,8dd6a81f-161a-f650-6cd9-a1f56eceb187
Trinocity,USA,TN,Nashville,operating,education|software,"1,196,020",5/1/2014,,5328475d-d4fb-181c-c840-99fe81bf2353
Maize Analytics,USA,TN,Nashville,operating,data and analytics|health care,,7/1/2013,,078cf767-5147-fa64-5d1d-736c98dbc77f
Remix Hits,USA,TN,Nashville,operating,media and entertainment|music and audio|software,,1/18/2015,,732c53ef-3124-15bb-aceb-17828d20bbb4
Branch Technology,USA,TN,Chattanooga,operating,hardware|manufacturing|real estate|science and engineering|software,"710,000",1/1/2014,,1d6c5f97-1fd1-a510-3edf-c27bd90019f9
StudioNow,USA,TN,Nashville,operating,content and publishing|media and entertainment|video,"20,360,000",1/1/2007,,8e51db8e-e2bc-1624-d09e-79d9bd3704b6
Sizzle,USA,TN,Nashville,operating,professional services|sales and marketing|software,,9/12/2015,,d433bcb6-979d-1f53-fa80-2a561f06c8c0
Tandum,USA,TN,Nashville,operating,events|internet services|media and entertainment,"1,850,000",12/1/2013,,f0fa5b8f-7d58-cde1-e5c9-11eedbc42839
Integrated Healing Technologies (IHT),USA,TN,Franklin,operating,design|health care,"5,978,648",1/1/2007,,9bbbce14-7b15-bee9-7f50-14050da97bf3
"iQuantifi, Inc.",USA,TN,Franklin,operating,financial services,"3,700,000",10/15/2009,,929600ef-a5d2-ac97-1218-63be53a112f4
JourneyPure,USA,TN,Brentwood,operating,biotechnology|health care|science and engineering,"4,711,450",1/1/2014,,3efc9d7f-5c4e-fe2c-e91a-58b9c2e9d783
Lucro,USA,TN,Nashville,operating,health care|information technology,,1/1/2014,,14c1f360-2275-2df9-8e63-18ee66c9ea9a
Senta,USA,TN,Bristol,operating,software,"219,441",1/1/2014,,5b696a48-a9ac-5a4b-ca9f-1e19a2c2f9a2
"Urgent Team Holdings, Inc.",USA,TN,Nashville,operating,health care,"64,200,000",1/1/2011,,f2475528-7e4b-700f-30a2-1923bb606669
Grow Bioplastics,USA,TN,Knoxville,operating,,"136,000",12/29/2015,,d707dc45-01b4-c102-b6c8-bfaa489152e5
cicayda,USA,TN,Nashville,operating,information technology|internet services|professional services,"11,000,000",1/1/2012,,ebf01177-cc7c-76d8-0eb4-f4bcedcfb6d9
Stony Creek Colors,USA,TN,Goodlettsville,operating,agriculture and farming,"80,000",1/1/2012,,fe42acc5-3b14-968e-8d0b-94b7b55c3993
SertintyOne,USA,TN,Nashville,operating,software,"3,000,000",1/1/2010,,a6692a34-4a74-05d1-bc84-7df1edd0e5d5
QualDerm Partners,USA,TN,Brentwood,operating,health care|information technology,"31,800,000",1/1/2014,,c0d5d385-87d8-5ec3-488b-b42508972bc6
MedPass Health,USA,TN,Nashville,operating,health care,"1,410,000",1/1/2014,,b947ba22-ab59-e110-aac2-4c4674849044
Molecular Sensing,USA,TN,Nashville,operating,biotechnology|science and engineering,"7,945,000",1/1/2007,,29809a8c-92f9-7554-8b3b-9b1287d84812
Nisolo,USA,TN,Nashville,operating,clothing and apparel|community and lifestyle|consumer goods,"1,040,000",1/1/2011,,dae2451c-964c-de96-498c-ee12e31463d8
PlayMaker CRM,USA,TN,Franklin,operating,health care|information technology|sales and marketing|software,"4,125,000",1/1/2008,,c0aeebae-1e39-02b8-7d26-85fdfd493398
Haven Behavioral,USA,TN,Nashville,operating,health care,,1/1/2006,,f15bcaff-0461-60ac-c07c-e72383875a4c
LogoGarden,USA,TN,Franklin,operating,sales and marketing|software,"5,050,000",7/1/2011,,84c978a0-f321-41c3-d206-ce4ab507cb22
Hapten Sciences,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"2,925,000",1/1/2010,,9cacaf5a-aebe-939d-95d7-4db444df3298
Entac Medical,USA,TN,Germantown,operating,health care,"250,000",1/1/2011,,ed6bd270-5e31-2af9-9543-56dbdca48137
"Smart RIA Ventures, LLC",USA,TN,Knoxville,operating,financial services,"250,000",1/1/2016,,ce91fea9-a40b-4bea-a57d-a79d60291985
MRI Interventions,USA,TN,Memphis,ipo,health care,"35,821,571",1/1/1998,,c379ac95-8194-e096-5265-5644b6498669
BioNova,USA,TN,Germantown,operating,health care,"1,901,147",1/1/2011,,3de75e3d-db00-e02c-4156-10402f94fd8b
Edo Interactive,USA,TN,Nashville,acquired,advertising|data and analytics|financial services|mobile|payments|sales and marketing,"91,600,100",1/1/2007,,438c7e89-ba0c-b8cc-7ea6-1a0ac47ae40d
Clariture,USA,TN,Nashville,operating,advertising|sales and marketing,"4,550,000",9/1/2013,,3ed604bf-014b-40fb-f40b-a454b348a0f3
MyFansDemand,USA,TN,Nashville,operating,apps|events|media and entertainment|mobile|software,,1/1/2014,,318f7dd3-d2ca-6d6c-57e4-a768fcfa9de3
CelgenTek,USA,TN,Memphis,operating,health care|manufacturing,"2,000,000",1/1/2014,,8b6fb1f9-574b-ff16-8d41-ae1f2d0a1600
"Rezli, Inc.",USA,TN,Chattanooga,operating,gaming|internet services|professional services|software,"2,353,000",4/1/2012,,7192aa5c-d63d-6731-26e0-0b8e5e9dba91
David Dubbs Internet Marketing,USA,TN,Nashville,operating,sales and marketing,,11/1/2015,,5d3affe2-4f58-5f95-6432-909bb8d68d2a
GoNoodle,USA,TN,Nashville,operating,health care|internet services,"10,900,000",1/1/1999,,ca3f7852-447d-428e-f635-f0fc0da879b3
Clarus Care,USA,TN,Brentwood,operating,health care|software,"4,850,000",1/1/2013,,5f47eb3c-d718-5a9a-9d52-ace86d7e37b7
Bargain Hunt Superstores,USA,TN,La Vergne,operating,commerce and shopping|transportation,,1/1/2000,,a395666b-50e3-08af-a831-9f6eda4b42bc
"bluField, Inc.",USA,TN,Nashville,operating,advertising|sales and marketing|software,"380,000",4/1/2014,,d285f316-6bad-a9d8-b240-ab4650d422ca
Nudge,USA,TN,Chattanooga,operating,apps|health care|software,"1,350,000",5/1/2011,,eaa855b5-81de-eb4d-ea54-62c0477c1768
General Graphene,USA,TN,Oak Ridge,operating,commerce and shopping|hardware|manufacturing|software,"8,700,000",1/1/2014,,b6ac5022-0235-d0c4-1e22-a464998f19c0
RootsRated,USA,TN,Chattanooga,operating,apps|commerce and shopping|data and analytics|internet services|media and entertainment|mobile|software,"2,965,000",5/5/2012,,45cf20ee-63bd-d645-897a-5d3fbbb37677
Insight Genetics,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"4,550,000",1/1/2007,,425dc0d1-c18c-1214-efc4-6ad3c323a1b1
DataFlyte,USA,TN,Knoxville,operating,energy|science and engineering,"400,000",1/1/2014,,7338b47c-d5a1-d761-b93e-2cb5bcd09e2b
BTC Media,USA,TN,Nashville,operating,content and publishing|education|financial services|media and entertainment|payments|software,,1/1/2014,,71bfc1e4-b48b-1b9c-8fe6-892238133a2c
Collider,USA,TN,Chattanooga,operating,manufacturing,"365,000",10/1/2015,,b89d1ccc-0207-890d-7904-3cda63e8a100
Healthspek,USA,TN,Nashville,operating,hardware|software,"1,250,000",1/1/2012,,61517731-e7e0-10de-b93d-361832e64574
Rugged Outdoor Computing,USA,TN,Memphis,operating,hardware|internet services,,4/1/2001,,5a968046-4184-2ebf-c80a-921fa7841cbf
Ridgeholm Energy Partners LLC,USA,TN,Chattanooga,operating,energy,"200,000",2/1/2012,,1de0dc67-fcdf-279b-89ef-e133889d483e
Evermind,USA,TN,Nashville,operating,hardware|health care|software,"8,815,114",5/1/2012,,dde61135-6ccf-d97b-d4be-db7a7444e0ff
Crystal Knows,USA,TN,Nashville,operating,information technology|software,"2,435,000",9/1/2014,,cd8188e9-fcf2-5ded-e3d6-1941cf612dea
Marquee Dental Partners,USA,TN,Nashville,operating,health care,"35,000,000",1/1/2015,,81cd3d65-2fba-ddb6-8f4a-fa02ad608925
Trocar Sweep,USA,TN,Germantown,operating,health care,"500,000",3/1/2011,,00f47a74-88ef-b09a-2745-6db415fce4aa
PerfectServe,USA,TN,Knoxville,operating,health care|mobile,"35,900,000",1/1/1997,,40e896c5-6991-e0ca-143c-d8f24e4b5be8
Wealth Access,USA,TN,Nashville,operating,financial services,"6,189,808",1/1/2011,,df4abd53-cc6b-fc46-8cde-0f4c1f21d456
Cybera,USA,TN,Franklin,operating,hardware|information technology|privacy and security|software,"37,894,393",1/1/2001,,6467e9d6-7b9f-8e7a-4d6a-e5300f2daf55
Apple Pie Studio,USA,TN,Murfreesboro,operating,internet services,"250,000",1/1/2009,,378e9087-7947-881a-17c2-01a6934d20e1
Clinical Pharmacy Services,USA,TN,,operating,,,1/1/1990,,1c85c61c-eaf4-7c6b-bdf0-f79b5f23e4ea
ECOSURG,USA,TN,Memphis,operating,health care|manufacturing,"520,000",5/12/2012,,f4128282-3001-fb0f-f2ad-f1a4fb506c44
RemitDATA,USA,TN,Memphis,operating,data and analytics|health care,"16,450,100",1/1/2000,,1d5a4081-5a0e-9250-dbca-34d3b4fba01e
Everjewel.com,USA,TN,Brentwood,operating,clothing and apparel|commerce and shopping|consumer goods|design,"800,000",1/1/2015,,78bc3892-836c-017e-c404-d1b65e375aac
Mixtroz,USA,TN,Franklin,operating,community and lifestyle|events|internet services|media and entertainment|professional services,"200,000",11/9/2014,,a06dd3b1-354a-69c4-9ad3-770e8c2182ce
Cagenix,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"5,462,178",1/1/2009,,072690d5-179a-94aa-405e-3661ba9ef6e4
ReadyCart,USA,TN,Chattanooga,operating,commerce and shopping|media and entertainment,"700,000",11/1/2013,,aefe3f79-837e-ae9a-63e2-6b56f3081672
Overdog,USA,TN,Nashville,acquired,content and publishing|gaming|internet services|media and entertainment|video,"6,278,109",1/1/2012,,349b09c5-13ca-e680-099f-99ba36a4fd54
LeanKit,USA,TN,Franklin,operating,software,"24,600,000",5/1/2009,,b8ed196e-b88e-ab68-0629-c94bb07b1881
Vanderbilt University Medical Center,USA,TN,Nashville,operating,health care,"22,300,000",1/1/2010,,26513ffb-fcf3-2e2c-5dd1-0ba73231ce1b
Wannado,USA,TN,Nashville,operating,data and analytics|events|media and entertainment|mobile,"811,670",5/1/2011,,bddab089-f0a5-502a-99f4-1be1cd65cc4f
MedCenterDisplay,USA,TN,Brentwood,acquired,advertising|hardware|sales and marketing|software,"15,925,125",8/1/2007,,6f5ed438-7660-31bb-3958-9bf56b9d7d76
Emma,USA,TN,Nashville,operating,data and analytics|design|information technology|internet services|messaging and telecommunications|sales and marketing|software,"5,000,000",1/1/2003,,df619c61-fe69-52a4-585f-f55a8fa75bc2
PYA Analytics,USA,TN,Knoxville,operating,biotechnology|data and analytics|health care|science and engineering,"520,000",1/1/2013,,cf9dc7b4-09e5-6cd0-1d8c-200e05ecb8d4
SRM Technologies,USA,TN,Murfreesboro,operating,information technology|software,"20,000",1/1/1998,,31fed102-d601-9438-b4f4-7b87c8012d4a
The PT Solution,USA,TN,Chattanooga,operating,content and publishing|media and entertainment|transportation,"20,000",1/1/2014,,7053c954-0a08-3a9a-98cc-cfbb3d562db8
PriceWaiter,USA,TN,Chattanooga,operating,commerce and shopping,,1/1/2011,,fd0d2e56-9f3d-f3e6-3b4a-9896a61e6f31
CrossRoads Extremity Systems,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"1,777,900",1/1/2014,,63efcade-4180-8a08-30a4-80d156f4c73f
Rapid RMS,USA,TN,Chattanooga,operating,commerce and shopping|information technology|internet services|software,"1,850,000",11/1/2013,,55fff9c9-61fe-d7bd-a499-47f8c1d81ee1
Agilum Healthcare Intelligence,USA,TN,Franklin,acquired,health care|information technology|software,"17,433,626",1/1/2005,,7181b2e6-cb19-eb75-2e7f-d88945454a67
LASSO,USA,TN,Nashville,operating,software,"1,800,000",1/1/2014,,86bec5ae-e8a2-3695-1724-1b2fed77566b
Care 24/7,USA,TN,Knoxville,operating,health care,"250,000",1/1/2013,,461664df-9f58-394b-c7bd-fa6c0bb59073
Solar Site Design,USA,TN,Nashville,operating,energy|media and entertainment|natural resources|software|sustainability,"322,500",1/1/2013,,fabf3f68-358e-cc9a-d2ce-6cc760f47d2c
Brandleton and Charm,USA,TN,Chattanooga,operating,clothing and apparel|commerce and shopping|design,"5,000",2/1/2013,,86c94cda-3afb-678c-d385-08142309b4f6
Smartvue Corporation,USA,TN,Nashville,operating,internet services|software,"22,357,298",4/25/1996,,f4e94505-10a3-8be7-ddd8-c68b50e54544
Addiction Campuses of America,USA,TN,Brentwood,operating,health care,"8,500,000",1/1/2014,,35b5477f-98bd-61e8-91ec-7b1467c69f36
Life Links,USA,TN,Nashville,operating,health care,"150,000",1/1/2002,,9b70d554-dfc6-310d-47a1-493a5762774b
"Pro Hydration Therapy, Inc.",USA,TN,Nashville,operating,health care,"150,000",1/1/2015,,5d4d11a9-384d-38a2-2612-f3731950417b
Nusirt,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"13,983,353",1/1/2007,,bc13bd9a-65ac-3e98-c156-f7b0bd1aab49
ReTrans,USA,TN,Memphis,acquired,transportation,"80,000",1/1/2000,,1d86f1b7-c30c-2061-1849-d1fc7111cd62
Ncontracts,USA,TN,Brentwood,operating,financial services|information technology,"1,075,000",7/1/2009,,bc3f35d5-7511-d621-6e9c-24d69b5a1a31
Browz,USA,TN,Utah,operating,transportation,"10,000,000",1/1/2001,,0e6ec7eb-7abd-3795-599e-8e7ebff8db46
Shareable Ink,USA,TN,Nashville,acquired,data and analytics|health care|information technology|internet services|software,"27,760,493",1/1/2009,,b15bdf02-47b4-52cb-1803-69ebe4026b3d
Musistic,USA,TN,Memphis,operating,media and entertainment|music and audio,"629,302",1/1/2013,,9fb6ef1a-f90a-c320-2f66-21020f470f70
YouScience,USA,TN,Brentwood,operating,administrative services|education|professional services,"17,666,667",1/1/2012,,e2b7c784-7d3f-773e-4c6f-b926ef194521
Closeup.fm,USA,TN,Knoxville,operating,events|media and entertainment|music and audio,,11/13/2013,,fd796c96-9e03-86e3-c16e-b3fcced5fca7
DivorceSecure,USA,TN,Memphis,operating,professional services,"25,000",3/1/2015,,00d21f44-7425-5d52-8619-4d0a1c122320
LendMed,USA,TN,Memphis,operating,health care,"25,000",1/1/2015,,ed46d094-7a3d-2839-8056-5fa75f922fec
XOEye Technologies,USA,TN,Nashville,operating,consumer electronics|hardware|manufacturing|real estate|software|transportation,"3,400,000",10/1/2013,,13e32f85-8d44-c9c7-a299-94b53b8e1d39
OnSomble,USA,TN,Nashville,operating,data and analytics|education,"378,286",1/1/2008,,713e3363-7239-7442-9da3-0d805cc2d22a
Ariste Medical,USA,TN,Memphis,operating,biotechnology|science and engineering,"5,875,000",1/1/2007,,09898987-8a1a-cbb3-f246-13f94c26efb3
Pass It Down,USA,TN,Chattanooga,operating,media and entertainment|mobile|video,"250,000",4/17/2015,,b58c2ead-c502-c59b-fe25-a3feacf9b96a
New Constructs,USA,TN,Brentwood,operating,financial services|real estate,"150,000",1/1/2002,,1ee6a576-e988-4c6d-3e28-8db2e6f67f19
American Born Moonshine,USA,TN,Nashville,acquired,food and beverage,"2,500,000",1/1/2012,,1bfc2285-857f-ab53-560d-6ac9f4b12433
Agisent Technologies,USA,TN,Tullahoma,operating,government and military|software,"9,029,507",4/4/2006,,51f40efe-f2bd-74b3-be4c-00d37e9865dc
HectoPlant,USA,TN,Leoma,operating,energy|natural resources|sustainability,,3/15/2015,,6898079a-4c1f-ccf5-c885-3e8ff0062fb0
Silicone Arts Laboratories,USA,TN,Memphis,operating,media and entertainment|travel and tourism,"2,581,933",1/1/2010,,ae85e5ef-c055-2ed5-3e4f-851b49e7ad70
Vaxent,USA,TN,Memphis,operating,,"152,500",1/1/2008,,d5d99b8f-df0c-8b25-650e-1eebc6ac0d36
NuScriptRx,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"64,630,077",1/1/2007,,6714bea5-ca3a-812f-69e5-0f81713a3515
Advanced Catheter Therapies,USA,TN,Chattanooga,operating,biotechnology|health care|science and engineering,"14,200,000",4/18/2008,,319a34ca-603e-c7d4-1518-21d698ce0cb2
Culer,USA,TN,Nashville,operating,manufacturing,"15,106,192",1/1/2006,,d6f18825-4a86-f31c-9eda-3acfeffb0e9c
AudiencePoint,USA,TN,Chattanooga,operating,data and analytics|software,"2,783,000",1/1/2010,,67fc1506-e079-d78e-8c49-6c669d865d9e
